batches_per_epoch,e_alpha,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,phdim_0,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
6.0,,0,,,0.0338969230651855,0.0,2823.0,6586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.2004096508026123,0.0,5.381513595581055,217.35101318359372,0.0,,
,,1,0.0,3.6044821739196777,,,,,0.0510593429207801,0.0255759861320257,0.0020006473641842,0.9999817609786988,0.05115357786417,0.0513635016977787,0.0514643266797065,0.0511866062879562,0.0510344468057155,0.0511354766786098,0.0514084510505199,0.0505296178162097,0.0511290915310382,0.0505133718252182,0.0518950223922729,0.0508354119956493,0.0512743070721626,0.0020069368183612,1.0000406503677368,0.0509590059518814,0.025580421090126,0.0020455189514905,1.0000473260879517,0.0510006323456764,0.0513815321028232,0.0507495999336242,0.051272552460432,0.0511494427919387,0.0509991645812988,0.0510165952146053,0.0514366626739501,0.0512681491672992,0.0511564575135707,0.0510119721293449,0.0516238994896411,0.0511000379920005,0.0020387829281389,1.00005042552948,0.9999492168426514,0.0510447695851326,,6,,,,,0.0,3.5982258319854736,36.53336334228516
6.0,,1,,,0.0389387607574462,0.0006000000284984,2823.0,6586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.7477004528045654,0.0,3.456595659255981,31.708845138549805,0.0,,
,,2,0.0,2.9433999061584477,,,,,0.0513150952756404,0.0260802060365676,0.0053650648333132,0.9996288418769836,0.0513808690011501,0.0515835583209991,0.0517141669988632,0.0514167733490467,0.0511827953159809,0.0514046810567379,0.0517120882868766,0.0507670640945434,0.0514011345803737,0.0507707446813583,0.0520592443645,0.0510570667684078,0.0515345223248004,0.0055181849747896,0.9999094605445862,0.0511791035532951,0.0260533895343542,0.005748996976763,1.001204013824463,0.0512384176254272,0.0515246205031871,0.0509394705295562,0.0513815954327583,0.0513557083904743,0.05125492811203,0.0511670671403408,0.0515690594911575,0.0513722226023674,0.0514023452997207,0.0513196140527725,0.0519285686314106,0.0512604005634784,0.0054363445378839,0.9998634457588196,0.9998041987419128,0.0511745326220989,,12,,,,,0.0,2.956638813018799,19.23321533203125
6.0,,2,,,0.0381515026092529,0.0010000000474974,2823.0,6586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5940203666687012,0.0,2.8769044876098637,17.759214401245117,0.0,,
,,3,0.0,2.584951639175415,,,,,0.0516359061002731,0.0266769472509622,0.0071798702701926,0.9993779063224792,0.0515710711479187,0.0518178567290306,0.0520079508423805,0.0516228750348091,0.051367525011301,0.0517231486737728,0.051986526697874,0.0511495172977447,0.0518378317356109,0.0510463789105415,0.0522074401378631,0.0512500666081905,0.0518030039966106,0.00741858035326,0.999652087688446,0.0514436811208725,0.02660365216434,0.0083806989714503,1.0030550956726074,0.0514025725424289,0.0517737157642841,0.05120649933815,0.0515215881168842,0.0516025498509407,0.0515033081173896,0.0513038598001003,0.0517022125422954,0.0514927320182323,0.0515714474022388,0.0516035817563533,0.0521739535033702,0.0514173507690429,0.0072292909026145,0.9996665120124816,0.9996890425682068,0.0515915900468826,,18,,,,,0.0,2.610369682312012,13.604079246520996
6.0,,3,,,0.0322775840759277,0.0010000000474974,2823.0,6586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.2598483562469482,0.0,2.5330724716186523,12.59213638305664,0.0,,
,,4,2.3025150299072266,2.400657892227173,,,,,0.0519330911338329,0.0271756593137979,0.0079820286482572,0.9992088079452516,0.051718570291996,0.0521455742418766,0.052419327199459,0.0518085919320583,0.0515723600983619,0.0519962012767791,0.0521925948560237,0.0514567866921424,0.052202720195055,0.0512712746858596,0.0523703508079052,0.0514266528189182,0.0520474985241889,0.0083097256720066,0.9993701577186584,0.0517064072191715,0.0270512830466032,0.0110620753839612,1.006144881248474,0.0514666102826595,0.0520371496677398,0.0514455027878284,0.0516103319823741,0.0518362186849117,0.0517066493630409,0.0513458289206028,0.0518145486712455,0.0515866875648498,0.0516426376998424,0.05184992775321,0.0524283051490783,0.0515158362686634,0.0081052305176854,0.9995318055152892,0.9996130466461182,0.0521401539444923,,24,,,,,1.943516492843628,2.429344892501831,11.35144329071045
6.0,,4,,,0.0378618240356445,0.0010000000474974,2823.0,6586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.5671586990356445,2.054551839828491,2.391098976135254,10.925494194030762,1.943516492843628,,
,,5,2.3025150299072266,2.3485324382781982,,,,,0.0521552413702011,0.0275268610566854,0.0084890788421034,0.9990936517715454,0.0518371500074863,0.0524710491299629,0.0527635030448436,0.0519617274403572,0.0517557375133037,0.0521993227303028,0.052342414855957,0.051687404513359,0.05246277526021,0.0514317862689495,0.0525544583797454,0.0515663921833038,0.0522215403616428,0.0088643729686737,0.999208688735962,0.0519185364246368,0.0273539051413536,0.0133982636034488,1.009279489517212,0.0515243597328662,0.0522602461278438,0.0516192018985748,0.051679965108633,0.0519342347979545,0.0518136322498321,0.0513990484178066,0.051894012838602,0.0516666918992996,0.051709022372961,0.0520227774977684,0.0526127927005291,0.0516036748886108,0.0086574433371424,0.9994640350341796,0.99956476688385,0.0527161471545696,,30,,,,,1.943516492843628,2.3745455741882324,10.746129035949709
