epoch,step,train_accuracy,train_loss,val_accuracy,val_loss,phdim_0,e_alpha
0,4,11.15000043064356,380.3090591430664,11.44137978553772,264.0699462890625,,
1,8,9.750000573694706,249.7349967956543,8.925862610340118,203.01174926757807,,
2,12,8.350000344216824,176.64644622802734,8.513793349266052,146.07664489746094,,
3,16,8.450000546872616,134.52126121520996,9.541379660367966,124.39289855957033,,
4,20,9.200000204145908,115.43706893920898,9.924138337373734,106.8791275024414,,
5,24,9.750000387430193,97.02051162719728,10.096552222967148,91.1256332397461,,
6,28,9.750000573694706,82.18169021606445,9.960345178842545,81.77635955810547,,
7,32,10.550000704824924,73.29755592346191,10.29827669262886,75.3911361694336,,
8,36,10.85000056773424,66.28070259094238,11.036207526922226,68.66568756103516,,
9,40,11.000000685453417,59.576910972595215,11.596552282571793,62.94390487670898,,
10,44,11.550000682473184,54.46284198760986,11.65517270565033,58.80790328979492,,
11,48,11.700000800192356,50.4684534072876,11.529310792684557,55.28242874145508,,
12,52,11.950000375509262,46.7831916809082,11.389655619859695,52.07500076293945,,
13,56,11.700000427663326,43.47173309326172,11.336207389831545,49.49622344970703,,
14,60,11.70000061392784,40.8051872253418,11.270689964294434,47.2576904296875,,
15,64,11.800000444054604,38.37456130981445,11.327587068080902,45.15263748168945,,
16,68,12.05000076442957,36.24654197692871,11.496552079916,43.2331657409668,,
17,72,11.900000274181366,34.30686569213867,11.53448298573494,41.55884552001953,,
18,76,11.550000682473184,32.58254432678223,11.643104255199432,40.04104232788086,,
19,80,11.400000751018524,30.98677349090576,11.672414094209673,38.63323211669922,,
20,84,11.400000751018524,29.53191471099853,11.72069013118744,37.3359375,,
21,88,11.45000047981739,28.17810440063477,11.731035262346268,36.12834548950195,,
22,92,11.550000682473184,26.9531888961792,11.817242205142977,34.99359893798828,,
23,96,11.750000528991222,25.7877459526062,11.862069368362429,33.91743469238281,,
24,100,11.750000528991222,24.707369804382324,11.863793432712557,32.9100227355957,,
25,104,12.05000039190054,23.70969533920288,11.89482808113098,31.975069046020508,,
26,108,11.90000046044588,22.761090755462646,11.89655214548111,31.093725204467773,,
27,112,11.90000046044588,21.89451313018799,11.968965828418732,30.26791763305664,,
28,116,12.000000476837158,21.0643892288208,11.956897377967834,29.47579002380371,,
29,120,12.000000290572643,20.295637607574463,12.00689747929573,28.72199058532715,,
30,124,12.10000030696392,19.564340591430664,12.022414058446884,28.012266159057617,,
31,128,12.200000323355198,18.88298511505127,12.046552449464798,27.338891983032227,,
32,132,12.25000023841858,18.226121425628666,12.043104320764542,26.70808219909668,,
33,136,12.050000578165054,17.618528366088867,12.074138224124908,26.095718383789062,,
34,140,12.150000594556332,17.04210329055786,12.115518003702164,25.51339530944824,,
35,144,12.05000076442957,16.49191188812256,12.067241966724396,24.96791648864746,,
36,148,11.950000561773775,15.972188234329224,12.062069773674011,24.43997001647949,,
37,152,12.100000493228436,15.478479385375977,12.112069875001907,23.93407249450684,,
38,156,12.05000039190054,15.012661695480348,12.141379714012146,23.45818328857422,,
39,160,11.800000630319118,14.573447704315186,12.18448355793953,23.00935935974121,,
40,164,11.900000646710396,14.15184760093689,12.224138528108597,22.584482192993164,,
41,168,12.200000509619713,13.752943277359009,12.268966436386108,22.174468994140625,,
42,172,12.000000663101671,13.37353491783142,12.306897342205048,21.7768497467041,,
43,176,12.050000578165054,13.02028512954712,12.306897342205048,21.401338577270508,,
44,180,12.550000473856926,12.66926622390747,12.358621507883072,21.03681373596192,,
45,184,12.650000676512718,12.340113878250122,12.32241466641426,20.6962833404541,,
46,188,12.7000005915761,12.027334213256836,12.350000441074371,20.37304306030273,,
47,192,12.50000074505806,11.730448484420776,12.377586960792542,20.058822631835938,,
48,196,12.7000005915761,11.44159984588623,12.365517765283585,19.74806404113769,,
49,200,12.750000320374966,11.166784763336182,12.3603455722332,19.45694160461425,,
50,204,12.800000421702862,10.901612997055054,12.38793134689331,19.175199508666992,,
51,208,13.050000555813313,10.646729707717896,12.401724606752396,18.90099334716797,,
52,212,12.800000421702862,10.399922132492064,12.389656156301498,18.63998794555664,,
53,216,12.750000692903996,10.161876440048218,12.44310438632965,18.37838363647461,,
54,220,12.900000624358654,9.934320211410522,12.456896901130676,18.12613677978516,,
55,224,12.75000087916851,9.71332597732544,12.468966096639631,17.890365600585938,,
56,228,12.650000490248203,9.50527286529541,12.47069016098976,17.660770416259766,,
57,232,12.900000810623167,9.299446105957031,12.484483420848846,17.43436050415039,,
58,236,13.100000470876694,9.105231523513794,12.47069016098976,17.21602439880371,,
59,240,13.250000402331352,8.914354085922241,12.494828552007675,17.01144790649414,,
60,244,13.300000503659248,8.7284255027771,12.57241517305374,16.811939239501953,,
61,248,13.40000070631504,8.551395893096924,12.606896460056303,16.611467361450195,,
62,252,13.599999994039536,8.380218744277954,12.57241517305374,16.412961959838867,,
63,256,13.750000670552254,8.213785767555237,12.581035494804382,16.22720718383789,,
64,260,13.700000941753387,8.05338454246521,12.589655816555023,16.05120086669922,,
65,264,13.80000077188015,7.894939303398132,12.637931108474731,15.872116088867188,,
66,268,14.00000061839819,7.744081139564514,12.644828855991364,15.702333450317385,,
67,272,14.30000066757202,7.597782254219055,12.674137949943542,15.534139633178713,,
68,276,14.25000075250864,7.457636117935181,12.653449177742004,15.371132850646973,,
69,280,14.350000396370888,7.318004369735718,12.696552276611328,15.211276054382324,,
70,284,14.600000903010368,7.183655619621277,12.777586281299593,15.059151649475098,,
71,288,14.750000834465029,7.055374503135681,12.75000125169754,14.90701389312744,,
72,292,14.550000801682472,6.928490996360779,12.710344791412354,14.764097213745115,,
73,296,14.45000059902668,6.806506872177124,12.71379441022873,14.624869346618652,,
74,300,14.650000259280205,6.687361478805542,12.789656221866608,14.48362922668457,,
75,304,14.700000546872616,6.571129083633423,12.79655247926712,14.349170684814451,,
76,308,14.950000680983068,6.459661364555359,12.762069702148438,14.22267723083496,,
77,312,14.95000086724758,6.348688960075378,12.810344994068146,14.09007167816162,,
78,316,14.900001138448715,6.244586229324341,12.855173647403715,13.962669372558594,,
79,320,14.900000393390656,6.139542937278748,12.83448338508606,13.842293739318848,,
80,324,15.10000079870224,6.037140965461731,12.848275899887083,13.724456787109377,,
81,328,15.35000093281269,5.9392828941345215,12.875862419605255,13.61089324951172,,
82,332,15.35000093281269,5.843266129493713,12.858621776103972,13.49732494354248,,
83,336,15.500000678002834,5.749096274375916,12.887932360172272,13.384449005126951,,
84,340,15.600000694394112,5.658395051956177,12.894828617572784,13.26954174041748,,
85,344,15.700000710785387,5.568902373313904,12.91896551847458,13.16765594482422,,
86,348,15.700000897049904,5.480597019195557,12.88103461265564,13.06728458404541,,
87,352,15.7500009983778,5.396405935287476,12.89827674627304,12.96726131439209,,
