epoch,train_accuracy,test_accuracy,phdim
3,32.17,39.45,"tensor(1.6553, device='cuda:0')"
6,53.468,56.34,"tensor(1.4281, device='cuda:0')"
9,65.392,66.08,"tensor(1.3619, device='cuda:0')"
12,72.344,70.89,"tensor(1.3475, device='cuda:0')"
15,76.15,71.19,"tensor(1.3644, device='cuda:0')"
18,79.312,73.51,"tensor(1.3610, device='cuda:0')"
21,81.722,74.24,"tensor(1.3233, device='cuda:0')"
24,83.566,72.1,"tensor(1.3047, device='cuda:0')"
27,85.7,72.66,"tensor(1.3389, device='cuda:0')"
30,86.972,74.39,"tensor(1.3561, device='cuda:0')"
33,87.93,73.6,"tensor(1.3856, device='cuda:0')"
36,88.882,73.77,"tensor(1.3629, device='cuda:0')"
39,89.828,72.75,"tensor(1.3587, device='cuda:0')"
42,90.538,73.54,"tensor(1.3692, device='cuda:0')"
45,91.204,72.86,"tensor(1.3766, device='cuda:0')"
48,91.686,73.36,"tensor(1.3579, device='cuda:0')"
51,92.028,73.32,"tensor(1.3578, device='cuda:0')"
54,93.016,73.06,"tensor(1.3477, device='cuda:0')"
57,92.81,74.34,"tensor(1.3303, device='cuda:0')"
60,92.864,73.18,"tensor(1.3418, device='cuda:0')"
63,93.628,72.34,"tensor(1.3415, device='cuda:0')"
66,93.874,73.53,"tensor(1.3386, device='cuda:0')"
69,94.07,74.65,"tensor(1.3326, device='cuda:0')"
72,94.318,73.97,"tensor(1.3479, device='cuda:0')"
75,94.494,73.23,"tensor(1.3558, device='cuda:0')"
78,94.4,74.51,"tensor(1.3421, device='cuda:0')"
81,94.582,74.02,"tensor(1.3345, device='cuda:0')"
84,95.11,73.64,"tensor(1.3486, device='cuda:0')"
87,94.784,73.39,"tensor(1.3575, device='cuda:0')"
90,94.946,74.79,"tensor(1.3419, device='cuda:0')"
93,94.922,73.82,"tensor(1.3652, device='cuda:0')"
96,95.32,74.02,"tensor(1.3616, device='cuda:0')"
99,95.136,74.1,"tensor(1.3671, device='cuda:0')"
102,95.386,73.55,"tensor(1.3696, device='cuda:0')"
105,95.952,73.82,"tensor(1.3527, device='cuda:0')"
108,95.964,73.13,"tensor(1.3716, device='cuda:0')"
111,95.664,73.84,"tensor(1.3609, device='cuda:0')"
114,95.856,74.11,"tensor(1.3696, device='cuda:0')"
117,95.512,74.33,"tensor(1.3500, device='cuda:0')"
120,95.982,73.19,"tensor(1.3756, device='cuda:0')"
123,95.81,73.95,"tensor(1.3596, device='cuda:0')"
126,95.476,74.2,"tensor(1.3861, device='cuda:0')"
129,96.048,73.02,"tensor(1.3846, device='cuda:0')"
132,95.624,73.81,"tensor(1.3689, device='cuda:0')"
135,95.744,74.47,"tensor(1.3637, device='cuda:0')"
138,95.85,73.75,"tensor(1.3606, device='cuda:0')"
141,96.024,73.35,"tensor(1.3834, device='cuda:0')"
144,95.886,73.7,"tensor(1.3750, device='cuda:0')"
147,95.95,72.63,"tensor(1.3508, device='cuda:0')"
150,96.198,73.83,"tensor(1.3678, device='cuda:0')"
