epoch,train_accuracy,val_accuracy,phdim_0
3,33.844,40.02,1.5445
6,55.472,60.33,1.4306
9,66.47,65.12,1.339
12,72.59,70.63,1.3558
15,76.754,71.7,1.3478
18,79.412,72.31,1.3412
21,81.804,73.29,1.3158
24,83.672,73.75,1.3259
27,85.652,73.66,1.3366
30,86.812,73.23,1.358
33,87.278,74.37,1.3704
36,88.566,73.15,1.3594
39,90.072,73.23,1.3466
42,89.91,74.33,1.3597
45,90.812,73.87,1.3629
48,91.34,72.93,1.3469
51,91.8,73.99,1.3274
54,92.584,73.52,1.3328
57,92.552,72.36,1.3357
60,92.744,73.8,1.3317
63,93.352,73.91,1.3312
66,93.918,73.49,1.3281
69,93.628,74.01,1.3308
72,94.152,73.68,1.3518
75,94.534,73.97,1.3537
78,94.354,73.86,1.3587
81,94.704,73.24,1.3444
84,94.96,74.01,1.3669
87,94.936,73.15,1.3622
90,94.458,73.57,1.3608
93,95.028,73.58,1.38
96,95.122,73.3,1.3601
99,95.462,73.13,1.3971
102,94.998,74.25,1.365
105,94.71,73.87,1.3745
108,95.666,73.03,1.3872
111,95.874,72.71,1.3891
114,95.506,74.4,1.3698
117,95.43,73.77,1.3722
120,95.55,73.32,1.3714
123,95.63,73.33,1.3696
126,95.794,74.08,1.3962
129,95.976,71.63,1.3917
132,95.916,73.8,1.3782
135,95.506,73.07,1.3743
138,95.952,73.02,1.381
141,95.606,72.32,1.3777
144,95.734,73.37,1.3805
147,95.796,73.73,1.3873
150,95.882,73.46,1.3774
