epoch,train_accuracy,val_accuracy,phdim_0
2,29.842,37.69,1.4487
4,52.618,57.34,1.3167
6,63.934,65.23,1.2726
8,68.95,67.16,1.3182
10,72.582,70.0,1.3044
12,75.094,72.31,1.2819
14,77.032,72.13,1.3277
16,78.964,70.83,1.3507
18,80.314,73.59,1.369
20,81.05,72.17,1.3426
22,82.296,73.95,1.3366
24,83.154,73.39,1.3033
26,83.984,71.94,1.3032
28,84.582,73.56,1.3011
30,85.324,73.86,1.3026
32,85.714,73.59,1.3057
34,86.266,73.68,1.3184
36,86.72,73.2,1.3134
38,87.162,74.05,1.3393
40,87.826,73.79,1.335
42,87.902,71.42,1.3379
44,88.056,73.36,1.3389
46,88.442,74.32,1.3435
48,88.446,73.97,1.3448
50,88.868,74.21,1.3473
52,89.35,73.41,1.3724
54,89.654,74.15,1.3768
56,89.522,73.56,1.3676
58,89.81,72.21,1.3544
60,90.006,74.37,1.3913
62,89.568,73.59,1.3557
64,90.052,73.44,1.3798
66,90.23,72.2,1.3722
68,90.42,73.65,1.3719
70,90.696,72.81,1.3756
72,90.576,74.51,1.371
74,90.788,73.27,1.377
76,90.894,73.58,1.3625
78,91.016,74.27,1.3762
80,90.676,72.96,1.3647
82,91.37,74.83,1.3764
84,91.394,74.12,1.388
86,90.934,73.57,1.3551
88,91.202,73.69,1.3559
90,91.39,74.2,1.3775
92,91.28,73.49,1.3638
94,91.21,73.64,1.357
96,91.734,74.99,1.3659
98,91.43,73.84,1.3754
100,91.862,74.35,1.3812
