epoch,train_accuracy,test_accuracy,phdim
2,33.62,39.98,"tensor(1.3865, device='cuda:0')"
4,55.058,57.54,"tensor(1.2990, device='cuda:0')"
6,64.952,66.99,"tensor(1.2995, device='cuda:0')"
8,69.776,68.98,"tensor(1.2914, device='cuda:0')"
10,73.39,69.8,"tensor(1.2748, device='cuda:0')"
12,75.938,72.8,"tensor(1.3085, device='cuda:0')"
14,77.668,73.22,"tensor(1.3278, device='cuda:0')"
16,79.466,73.61,"tensor(1.3295, device='cuda:0')"
18,80.698,72.99,"tensor(1.3422, device='cuda:0')"
20,81.75,71.97,"tensor(1.3259, device='cuda:0')"
22,83.074,72.69,"tensor(1.3280, device='cuda:0')"
24,84.05,73.75,"tensor(1.3145, device='cuda:0')"
26,84.39,73.52,"tensor(1.3036, device='cuda:0')"
28,85.388,73.37,"tensor(1.3058, device='cuda:0')"
30,85.802,72.1,"tensor(1.3261, device='cuda:0')"
32,86.27,73.05,"tensor(1.3105, device='cuda:0')"
34,86.748,74.03,"tensor(1.3185, device='cuda:0')"
36,87.036,73.41,"tensor(1.3264, device='cuda:0')"
38,87.648,73.92,"tensor(1.3426, device='cuda:0')"
40,87.894,74.52,"tensor(1.3518, device='cuda:0')"
42,88.344,72.86,"tensor(1.3703, device='cuda:0')"
44,88.508,74.07,"tensor(1.3523, device='cuda:0')"
46,88.83,73.65,"tensor(1.3713, device='cuda:0')"
48,88.874,74.93,"tensor(1.3585, device='cuda:0')"
50,89.406,74.39,"tensor(1.3525, device='cuda:0')"
52,89.5,72.1,"tensor(1.3658, device='cuda:0')"
54,89.606,73.79,"tensor(1.3647, device='cuda:0')"
56,89.726,74.36,"tensor(1.3589, device='cuda:0')"
58,90.052,72.73,"tensor(1.3645, device='cuda:0')"
60,90.056,74.58,"tensor(1.3861, device='cuda:0')"
62,90.304,74.32,"tensor(1.3800, device='cuda:0')"
64,90.652,72.5,"tensor(1.3683, device='cuda:0')"
66,90.334,73.4,"tensor(1.3691, device='cuda:0')"
68,90.424,71.82,"tensor(1.3607, device='cuda:0')"
70,90.708,73.63,"tensor(1.3621, device='cuda:0')"
72,90.906,73.99,"tensor(1.3772, device='cuda:0')"
74,90.908,73.37,"tensor(1.3704, device='cuda:0')"
76,91.274,74.48,"tensor(1.3675, device='cuda:0')"
78,91.412,73.29,"tensor(1.3598, device='cuda:0')"
80,91.448,73.34,"tensor(1.3585, device='cuda:0')"
82,91.22,73.29,"tensor(1.3659, device='cuda:0')"
84,91.1,73.35,"tensor(1.3641, device='cuda:0')"
86,91.248,73.37,"tensor(1.3608, device='cuda:0')"
88,91.524,73.78,"tensor(1.3780, device='cuda:0')"
90,91.45,73.16,"tensor(1.3735, device='cuda:0')"
92,91.386,73.92,"tensor(1.3576, device='cuda:0')"
94,91.56,73.54,"tensor(1.3590, device='cuda:0')"
96,91.722,73.22,"tensor(1.3616, device='cuda:0')"
98,91.506,73.59,"tensor(1.3858, device='cuda:0')"
100,91.612,73.76,"tensor(1.3785, device='cuda:0')"
