epoch,train_accuracy,test_accuracy,phdim
3,32.7,35.82,"tensor(1.6683, device='cuda:0')"
6,55.148,59.42,"tensor(1.4142, device='cuda:0')"
9,66.382,66.79,"tensor(1.3444, device='cuda:0')"
12,72.484,69.82,"tensor(1.3444, device='cuda:0')"
15,76.688,72.06,"tensor(1.3350, device='cuda:0')"
18,79.3,73.31,"tensor(1.3257, device='cuda:0')"
21,81.686,71.44,"tensor(1.3030, device='cuda:0')"
24,83.708,73.41,"tensor(1.3016, device='cuda:0')"
27,85.306,71.93,"tensor(1.3289, device='cuda:0')"
30,86.726,74.11,"tensor(1.3460, device='cuda:0')"
33,87.702,74.58,"tensor(1.3612, device='cuda:0')"
36,88.966,74.31,"tensor(1.3615, device='cuda:0')"
39,89.68,72.33,"tensor(1.3564, device='cuda:0')"
42,90.06,73.24,"tensor(1.3400, device='cuda:0')"
45,91.334,72.66,"tensor(1.3398, device='cuda:0')"
48,91.752,73.6,"tensor(1.3232, device='cuda:0')"
51,91.61,74.23,"tensor(1.3274, device='cuda:0')"
54,92.85,73.39,"tensor(1.3257, device='cuda:0')"
57,93.234,74.42,"tensor(1.3309, device='cuda:0')"
60,93.214,73.81,"tensor(1.3313, device='cuda:0')"
63,93.72,73.74,"tensor(1.3217, device='cuda:0')"
66,94.254,73.67,"tensor(1.3424, device='cuda:0')"
69,93.91,73.02,"tensor(1.3339, device='cuda:0')"
72,94.518,73.76,"tensor(1.3338, device='cuda:0')"
75,94.514,74.11,"tensor(1.3428, device='cuda:0')"
78,94.682,73.77,"tensor(1.3574, device='cuda:0')"
81,95.018,72.81,"tensor(1.3451, device='cuda:0')"
84,94.886,72.93,"tensor(1.3505, device='cuda:0')"
87,94.982,72.27,"tensor(1.3691, device='cuda:0')"
90,94.834,73.17,"tensor(1.3735, device='cuda:0')"
93,95.544,73.67,"tensor(1.3724, device='cuda:0')"
96,95.162,72.97,"tensor(1.3567, device='cuda:0')"
99,95.146,74.03,"tensor(1.3589, device='cuda:0')"
102,95.328,73.59,"tensor(1.3782, device='cuda:0')"
105,95.08,73.04,"tensor(1.3771, device='cuda:0')"
108,95.522,73.25,"tensor(1.3804, device='cuda:0')"
111,95.788,73.42,"tensor(1.3922, device='cuda:0')"
114,95.84,73.4,"tensor(1.3907, device='cuda:0')"
117,96.116,73.46,"tensor(1.3994, device='cuda:0')"
120,95.652,72.8,"tensor(1.3701, device='cuda:0')"
123,95.526,73.73,"tensor(1.3922, device='cuda:0')"
126,95.806,73.82,"tensor(1.3970, device='cuda:0')"
