epoch,train_accuracy,val_accuracy,phdim_0
2,25.538,32.78,1.7741
4,43.858,47.36,1.4278
6,56.534,59.92,1.3447
8,64.928,61.2,1.3124
10,69.46,65.79,1.3445
12,72.972,71.79,1.3346
14,75.864,70.75,1.3086
16,77.97,72.28,1.2933
18,79.424,72.99,1.3062
20,81.128,73.64,1.3289
22,82.47,72.96,1.3362
24,83.714,74.3,1.3422
26,84.568,73.28,1.3409
28,85.318,73.34,1.3423
30,86.37,73.25,1.3286
32,86.866,73.01,1.3393
34,87.384,72.99,1.3146
36,88.174,74.3,1.334
38,89.108,72.29,1.3073
40,89.028,73.82,1.3036
42,89.218,71.75,1.3065
44,90.378,73.58,1.3295
46,90.262,73.45,1.333
48,90.756,73.09,1.3458
50,90.992,73.2,1.3401
52,91.28,73.54,1.3506
54,91.376,73.08,1.3461
56,91.568,73.84,1.3548
58,92.138,72.03,1.34
60,92.06,73.07,1.352
62,92.15,73.81,1.3606
64,92.348,73.2,1.351
66,92.732,72.98,1.3763
68,92.588,73.66,1.3565
70,92.972,73.07,1.361
72,93.378,73.03,1.36
74,93.12,74.0,1.3722
76,93.152,74.13,1.3638
78,93.178,72.78,1.3475
80,93.492,73.37,1.3743
82,93.31,73.41,1.3624
84,93.766,73.6,1.3791
86,93.646,73.98,1.3635
88,93.564,73.45,1.3737
90,93.846,72.39,1.3739
92,93.372,73.48,1.3723
94,94.024,73.89,1.3787
96,93.76,74.14,1.3694
98,93.62,73.14,1.356
100,93.936,72.59,1.3666
