epoch,train_accuracy,val_accuracy,phdim_0
2,27.71,35.81,1.6891
4,45.016,53.76,1.4019
6,58.906,63.54,1.3505
8,65.814,63.79,1.3246
10,70.77,69.44,1.3204
12,74.166,71.43,1.3375
14,76.57,73.35,1.3241
16,78.638,70.58,1.3002
18,80.404,72.79,1.2932
20,81.858,72.3,1.3248
22,82.73,73.53,1.3313
24,84.338,73.43,1.3596
26,85.202,74.43,1.3911
28,86.258,74.29,1.3771
30,86.76,74.67,1.3833
32,87.596,74.42,1.3732
34,88.448,74.69,1.3538
36,88.926,72.52,1.3642
38,89.272,73.76,1.3426
40,89.346,73.73,1.3543
42,90.586,73.5,1.3601
44,90.184,73.8,1.3438
46,90.82,74.32,1.3467
48,90.97,74.29,1.3302
50,91.568,73.74,1.3461
52,91.86,73.71,1.3387
54,91.464,73.76,1.323
56,92.064,74.46,1.334
58,92.376,74.46,1.3536
60,92.446,73.67,1.3586
62,92.684,73.82,1.3596
64,93.204,74.32,1.35
66,93.044,74.21,1.3445
68,93.152,73.3,1.3562
70,93.384,74.39,1.3634
72,93.344,73.81,1.3633
74,93.328,72.94,1.3667
76,93.874,74.67,1.3764
78,93.834,74.35,1.3789
80,93.894,74.06,1.3683
82,93.808,74.0,1.3736
84,94.072,72.61,1.3874
86,94.088,73.73,1.3851
88,93.552,72.65,1.3787
90,94.068,74.42,1.38
92,94.562,74.38,1.3854
94,94.202,73.48,1.3807
96,94.374,73.53,1.3681
98,94.0,73.81,1.3747
100,94.304,72.82,1.3746
102,94.346,73.38,1.3734
104,94.422,74.11,1.3709
106,94.774,73.21,1.3583
108,94.402,73.95,1.3666
110,94.476,74.23,1.3837
112,94.616,74.39,1.3656
114,94.584,74.43,1.383
116,94.696,73.17,1.3956
118,94.68,74.48,1.3652
120,94.766,73.32,1.3771
122,94.948,73.59,1.3678
124,95.126,74.32,1.3732
126,94.966,74.01,1.3812
128,94.76,73.2,1.3721
130,94.646,73.9,1.3825
132,95.184,73.46,1.3865
134,94.596,73.97,1.3677
136,94.978,72.24,1.3853
138,94.87,73.62,1.3701
140,95.118,73.16,1.3916
142,94.772,73.84,1.3752
144,95.046,73.95,1.3832
146,94.622,73.69,1.3588
148,94.946,74.15,1.3857
150,95.134,73.96,1.3615
152,95.04,73.08,1.3865
154,95.18,73.6,1.3813
156,95.24,73.29,1.3762
158,94.8,73.61,1.3797
160,95.164,73.7,1.3803
162,95.02,74.1,1.3839
164,94.974,73.73,1.3738
166,94.964,73.93,1.371
168,94.88,73.26,1.3661
170,95.374,73.4,1.3739
172,95.67,73.63,1.3896
174,95.382,73.72,1.3568
176,95.33,74.0,1.4032
178,95.514,73.84,1.375
180,95.232,73.09,1.3639
182,95.682,73.15,1.3937
184,95.21,74.13,1.3747
186,95.326,72.01,1.3942
188,95.588,74.05,1.3913
190,95.276,74.76,1.3922
192,95.186,74.32,1.364
194,95.328,73.58,1.3752
196,95.184,73.77,1.3911
198,95.366,73.87,1.3812
200,95.38,73.51,1.382
