epoch,train_accuracy,val_accuracy,phdim_0
2,29.676,33.63,1.4509
4,49.112,55.77,1.3335
6,62.146,64.26,1.2829
8,68.71,65.85,1.3429
10,72.594,70.09,1.3051
12,75.574,70.25,1.2975
14,77.324,71.38,1.3239
16,79.032,73.12,1.3316
18,80.392,74.0,1.3445
20,81.938,72.57,1.3451
22,82.788,74.23,1.3305
24,83.306,74.17,1.3116
26,84.282,73.19,1.3214
28,84.9,73.2,1.3203
30,85.866,73.08,1.3127
32,86.29,73.85,1.3115
34,86.676,73.08,1.3252
36,87.188,73.37,1.3261
38,87.65,74.32,1.33
40,88.038,73.76,1.3417
42,87.996,72.81,1.3304
44,88.37,72.0,1.3504
46,89.126,74.25,1.3601
48,89.042,74.1,1.372
50,88.896,73.77,1.3683
52,89.224,74.05,1.3427
54,89.866,73.74,1.3546
56,89.908,73.93,1.3546
58,89.986,72.96,1.3553
60,89.982,73.09,1.3487
62,90.248,72.09,1.3717
64,90.318,73.53,1.3568
66,90.484,73.75,1.3623
68,90.828,72.22,1.3662
70,90.766,72.13,1.3482
72,90.6,73.05,1.3579
74,90.814,74.19,1.3709
76,90.906,73.65,1.3631
78,90.938,72.32,1.3631
80,91.312,72.6,1.3908
82,90.99,72.23,1.3604
84,91.31,73.06,1.3742
86,91.59,73.27,1.3691
88,91.024,73.24,1.3729
90,91.136,72.82,1.3607
92,91.762,71.28,1.3771
94,91.446,73.7,1.3814
96,91.762,73.43,1.3815
98,91.586,72.95,1.3609
100,91.924,73.28,1.3915
