epoch,train_accuracy,val_accuracy,phdim_0
2,32.75,40.15,1.3979
4,52.322,53.54,1.3028
6,63.542,64.85,1.2788
8,68.654,65.48,1.298
10,72.442,71.41,1.2641
12,75.248,71.19,1.2907
14,77.19,72.48,1.3183
16,78.976,72.31,1.3164
18,80.344,74.23,1.3195
20,81.242,72.81,1.3208
22,82.64,74.28,1.2984
24,82.914,73.57,1.2938
26,83.964,73.71,1.2932
28,84.822,73.84,1.2965
30,84.944,73.76,1.2895
32,85.936,71.73,1.3223
34,86.108,73.25,1.3205
36,86.5,75.25,1.357
38,86.878,74.38,1.3598
40,87.62,73.4,1.3547
42,87.436,73.53,1.356
44,88.446,73.35,1.3685
46,88.114,74.64,1.3605
48,88.892,72.74,1.3637
50,88.73,74.36,1.3577
52,89.018,73.07,1.3594
54,89.102,74.77,1.3607
56,89.574,73.55,1.3582
58,89.718,73.7,1.3596
60,89.306,73.81,1.3561
62,89.872,73.98,1.3485
64,89.936,74.41,1.3511
66,90.266,73.36,1.3614
68,90.464,73.01,1.3686
70,90.596,73.36,1.3497
72,90.282,71.9,1.3399
74,90.214,73.88,1.3412
76,90.662,73.91,1.3549
78,90.678,73.52,1.3439
80,90.64,73.54,1.351
82,90.904,72.73,1.3533
84,90.784,72.05,1.3575
86,90.892,72.92,1.3586
88,90.948,73.95,1.3446
90,91.372,72.65,1.3592
92,91.332,73.97,1.3525
94,91.578,73.69,1.3536
96,91.152,72.55,1.3608
98,91.328,74.38,1.346
100,91.122,73.03,1.3518
