epoch,train_accuracy,val_accuracy,phdim_0
3,32.104,38.46,1.6992
6,55.422,57.74,1.4059
9,66.126,66.54,1.3578
12,72.004,70.44,1.3528
15,75.254,69.85,1.365
18,78.938,72.27,1.3417
21,80.888,73.77,1.3263
24,82.93,73.85,1.3228
27,84.562,74.14,1.3467
30,85.812,72.05,1.3607
33,87.228,73.78,1.3677
36,88.788,73.2,1.3652
39,88.982,72.29,1.3586
42,89.506,74.97,1.3401
45,90.002,74.18,1.3498
48,90.962,73.9,1.3467
51,91.11,74.2,1.3379
54,92.308,74.07,1.3339
57,92.348,73.49,1.3404
60,92.712,74.16,1.3372
63,93.182,73.99,1.334
66,93.178,73.22,1.3195
69,93.508,73.42,1.3299
72,93.692,73.8,1.3384
75,94.062,73.96,1.3325
78,94.118,74.33,1.3447
81,94.098,73.99,1.3523
84,94.524,73.54,1.3641
87,94.662,73.69,1.3571
90,94.84,73.54,1.3846
93,94.374,74.01,1.3418
96,95.08,73.94,1.3818
99,94.852,73.94,1.3592
102,94.998,73.89,1.3705
105,95.222,74.38,1.3629
108,94.992,73.74,1.3637
111,95.168,73.86,1.3589
114,95.098,73.66,1.3664
117,95.104,74.62,1.3668
120,95.538,74.26,1.3826
123,95.41,73.43,1.3708
126,95.768,73.79,1.3765
129,95.402,73.45,1.3707
132,95.676,74.34,1.3636
135,95.758,74.15,1.3679
138,95.944,73.63,1.3653
141,95.832,73.92,1.3692
144,95.604,74.07,1.3533
147,96.084,73.81,1.3674
150,95.804,74.73,1.3569
