epoch,train_accuracy,val_accuracy,phdim_0
2,27.978,30.04,1.624
4,47.116,54.61,1.4112
6,60.016,63.31,1.3494
8,66.518,66.92,1.3013
10,70.616,68.81,1.3249
12,73.856,71.14,1.3428
14,76.402,71.52,1.3122
16,78.782,71.83,1.3032
18,80.314,72.27,1.3017
20,81.346,72.03,1.3283
22,82.646,73.01,1.3546
24,84.092,72.99,1.3426
26,84.742,73.6,1.3427
28,85.594,73.4,1.3527
30,86.678,72.62,1.3642
32,87.176,73.62,1.3379
34,87.646,73.67,1.3253
36,88.434,73.68,1.3312
38,88.886,74.56,1.3372
40,89.166,73.64,1.3252
42,89.798,71.99,1.317
44,90.126,71.93,1.3212
46,90.336,73.06,1.3153
48,90.832,72.38,1.3098
50,91.31,73.01,1.3158
52,91.662,73.36,1.3286
54,91.642,74.0,1.3198
56,92.096,72.23,1.3264
58,92.014,73.42,1.3359
60,91.866,72.97,1.3328
62,92.732,73.69,1.3464
64,92.828,72.75,1.3403
66,92.968,74.2,1.3589
68,92.792,73.33,1.3339
70,93.222,72.4,1.3597
72,93.094,74.26,1.3418
74,93.22,72.54,1.3538
76,93.556,73.21,1.3553
78,93.316,73.83,1.3554
80,93.482,73.55,1.3588
82,93.408,73.71,1.3647
84,93.546,73.38,1.377
86,93.734,72.76,1.3761
88,93.814,72.94,1.3674
90,94.016,73.25,1.3787
92,94.208,73.7,1.3609
94,93.982,73.53,1.3785
96,94.118,73.58,1.3702
98,94.326,73.16,1.3917
100,93.942,73.61,1.3697
