epoch,train_accuracy,val_accuracy,phdim_0
2,26.19,32.9,1.709
4,44.116,49.62,1.4348
6,57.624,60.64,1.3564
8,65.956,64.09,1.3252
10,70.718,68.5,1.3323
12,74.282,70.68,1.3634
14,76.928,71.49,1.3366
16,78.164,72.96,1.3096
18,80.614,73.14,1.2969
20,81.808,73.44,1.317
22,83.528,73.98,1.3446
24,84.018,74.11,1.3431
26,85.044,73.47,1.3426
28,85.992,73.62,1.3701
30,87.07,72.11,1.362
32,87.314,73.35,1.3395
34,88.234,74.11,1.3495
36,88.73,74.61,1.3349
38,89.044,72.65,1.3391
40,89.562,74.04,1.3405
42,90.092,74.71,1.3323
44,90.204,72.58,1.3325
46,90.724,74.0,1.3308
48,91.018,74.23,1.3238
50,91.202,73.5,1.3233
52,91.52,73.78,1.3296
54,92.048,73.86,1.3191
56,91.832,72.83,1.3196
58,91.972,73.27,1.3401
60,92.612,74.5,1.3266
62,92.66,72.72,1.3536
64,92.712,73.48,1.3519
66,93.228,74.33,1.347
68,92.844,72.75,1.3467
70,93.4,72.62,1.3463
72,92.84,73.49,1.3421
74,93.39,73.42,1.3519
76,93.346,73.66,1.3502
78,93.816,72.59,1.3457
80,93.42,73.15,1.351
82,93.648,73.61,1.3385
84,93.748,73.36,1.3701
86,94.148,72.81,1.3558
88,93.676,72.72,1.3506
90,94.17,73.56,1.3531
92,94.022,72.82,1.3569
94,94.09,73.72,1.3581
96,94.598,73.83,1.3566
98,94.272,73.79,1.3485
100,94.02,73.38,1.341
