epoch,train_accuracy,test_accuracy,phdim
2,31.974,38.86,"tensor(1.4284, device='cuda:0')"
4,52.81,58.38,"tensor(1.2881, device='cuda:0')"
6,63.744,65.33,"tensor(1.2771, device='cuda:0')"
8,69.268,69.29,"tensor(1.2884, device='cuda:0')"
10,72.582,70.07,"tensor(1.2583, device='cuda:0')"
12,75.844,71.92,"tensor(1.2905, device='cuda:0')"
14,77.858,72.23,"tensor(1.3115, device='cuda:0')"
16,79.376,70.97,"tensor(1.3238, device='cuda:0')"
18,81.304,72.87,"tensor(1.3256, device='cuda:0')"
20,82.05,72.94,"tensor(1.3171, device='cuda:0')"
22,82.756,73.5,"tensor(1.3059, device='cuda:0')"
24,83.694,73.81,"tensor(1.3080, device='cuda:0')"
26,84.35,74.24,"tensor(1.3071, device='cuda:0')"
28,85.5,73.81,"tensor(1.2998, device='cuda:0')"
30,86.01,73.18,"tensor(1.3080, device='cuda:0')"
32,86.53,73.45,"tensor(1.3231, device='cuda:0')"
34,86.658,73.47,"tensor(1.3275, device='cuda:0')"
36,87.228,73.26,"tensor(1.3323, device='cuda:0')"
38,87.364,73.81,"tensor(1.3357, device='cuda:0')"
40,87.484,73.66,"tensor(1.3567, device='cuda:0')"
42,88.23,73.77,"tensor(1.3357, device='cuda:0')"
44,88.306,74.06,"tensor(1.3479, device='cuda:0')"
46,88.676,74.24,"tensor(1.3508, device='cuda:0')"
48,89.232,74.8,"tensor(1.3540, device='cuda:0')"
50,89.28,72.33,"tensor(1.3624, device='cuda:0')"
52,89.554,73.91,"tensor(1.3498, device='cuda:0')"
54,89.64,73.56,"tensor(1.3555, device='cuda:0')"
56,89.678,73.62,"tensor(1.3538, device='cuda:0')"
58,90.096,73.29,"tensor(1.3856, device='cuda:0')"
60,90.288,74.29,"tensor(1.3828, device='cuda:0')"
62,89.79,73.81,"tensor(1.3503, device='cuda:0')"
64,90.658,73.06,"tensor(1.3635, device='cuda:0')"
66,90.676,74.58,"tensor(1.3561, device='cuda:0')"
68,90.942,72.16,"tensor(1.3867, device='cuda:0')"
70,90.688,73.48,"tensor(1.3683, device='cuda:0')"
72,90.556,73.7,"tensor(1.3540, device='cuda:0')"
74,90.6,73.35,"tensor(1.3776, device='cuda:0')"
76,91.13,73.7,"tensor(1.3893, device='cuda:0')"
78,91.164,72.54,"tensor(1.3747, device='cuda:0')"
80,91.144,73.64,"tensor(1.3684, device='cuda:0')"
82,91.356,72.95,"tensor(1.3738, device='cuda:0')"
84,91.402,73.94,"tensor(1.3891, device='cuda:0')"
86,91.248,73.13,"tensor(1.3676, device='cuda:0')"
88,91.68,73.47,"tensor(1.3720, device='cuda:0')"
90,91.47,74.04,"tensor(1.3674, device='cuda:0')"
92,91.564,73.47,"tensor(1.3612, device='cuda:0')"
94,91.568,73.46,"tensor(1.3825, device='cuda:0')"
96,91.812,73.97,"tensor(1.3784, device='cuda:0')"
98,91.666,74.54,"tensor(1.3580, device='cuda:0')"
100,91.658,73.59,"tensor(1.3762, device='cuda:0')"
102,91.704,73.62,"tensor(1.3555, device='cuda:0')"
104,91.908,72.68,"tensor(1.3819, device='cuda:0')"
106,91.764,73.37,"tensor(1.3627, device='cuda:0')"
108,91.758,74.37,"tensor(1.3696, device='cuda:0')"
110,91.948,73.79,"tensor(1.3699, device='cuda:0')"
