batches_per_epoch,e_alpha,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,phdim_0,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
18.0,,0,,,0.11533784866333,0.0,8939.0,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6121120452880859,0.0,3.875109195709229,48.18795776367188,0.0,,
,,1,0.0,2.592070341110229,,,,,0.0517026633024215,0.026676133275032,0.007013245485723,0.998753011226654,0.0513095222413539,0.0514985881745815,0.0516241379082202,0.0513053461909294,0.0516261421144008,0.0514851957559585,0.0511412024497985,0.051632847636938,0.051519725471735,0.0518472753465175,0.0520136319100856,0.0518968813121318,0.051683310419321,0.0069828392006456,0.9986903071403505,0.0513428710401058,0.0265763606876134,0.00879134144634,1.00335431098938,0.0514810644090175,0.0516535341739654,0.051494188606739,0.0514683350920677,0.0515964366495609,0.0519590862095356,0.0506549887359142,0.0509901642799377,0.0510556958615779,0.0516126155853271,0.0510874427855014,0.0512062720954418,0.0518097653985023,0.0069495034404098,0.9988102912902832,0.994210124015808,0.0514815375208854,,18,,,,,0.0,2.6104416847229004,13.605058670043944
18.0,,1,,,0.140735387802124,0.0010000000474974,8939.0,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3.6314544677734375,0.5369728207588196,2.439903497695923,11.47193431854248,0.0,,
,,2,0.9844501614570618,2.340357780456543,,,,,0.052323505282402,0.027688855305314,0.0085633350536227,0.9983199834823608,0.0516693294048309,0.0521016269922256,0.0522073283791542,0.0516739711165428,0.052223052829504,0.052114687860012,0.051395546644926,0.052490334957838,0.0523574575781822,0.0523769743740558,0.05268095433712,0.0527617335319519,0.051938708871603,0.0086977072060108,0.998015284538269,0.0518966913223266,0.027461813762784,0.0167122520506382,1.0133588314056396,0.0516086220741272,0.0521739982068538,0.0521072410047054,0.0516545586287975,0.0524410381913185,0.0527037791907787,0.0508040934801101,0.0513506196439266,0.0514652803540229,0.051706563681364,0.0514617040753364,0.0514688491821289,0.0519730411469936,0.0086145726963877,0.9983000159263612,0.9940189123153688,0.053030788898468,,36,,,,,1.7021275758743286,2.3436222076416016,10.41890811920166
18.0,,2,,,0.1567575931549072,0.0010000000474974,8939.0,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,3.524487257003784,0.9732632637023926,2.329919815063477,10.277117729187012,1.7021275758743286,,
,,3,1.0291979312896729,2.310170412063598,,,,,0.0524812899529933,0.027934106066823,0.0089163808152079,0.9981899261474608,0.0517560169100761,0.0522540472447872,0.052356794476509,0.0517505556344985,0.0523988232016563,0.052328485995531,0.0514561384916305,0.052817765623331,0.0527287237346172,0.0525245182216167,0.0528562106192112,0.0529881194233894,0.0520145073533058,0.0090821385383605,0.997844398021698,0.0520570166409015,0.0276774615049362,0.0211633257567882,1.0203628540039062,0.0516474545001983,0.0523222684860229,0.052301101386547,0.0516999624669551,0.0526772700250148,0.0529216639697551,0.0508539117872715,0.0514482781291008,0.0515703968703746,0.0517407171428203,0.0515855103731155,0.0515457987785339,0.0520285964012146,0.0089662689715623,0.99815833568573,0.9939777255058287,0.0541356429457664,,54,,,,,1.4893616437911987,2.3171331882476807,10.146544456481934
18.0,,3,,,0.1156046390533447,0.0010000000474974,8939.0,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,0.5938005447387695,0.9620763063430786,2.3117451667785645,10.092020988464355,1.4893616437911987,,
,,4,1.1186933517456057,2.302862882614136,,,,,0.0525127686560153,0.0279870852828025,0.0089827375486493,0.9981316924095154,0.0517603568732738,0.0522847287356853,0.0523864440619945,0.0517551600933074,0.0524253696203231,0.0523428730666637,0.051462572067976,0.0528834238648414,0.0528083406388759,0.052532285451889,0.0528969131410121,0.0530393347144126,0.0520116984844207,0.0091613540425896,0.9977993369102478,0.0521029531955719,0.0277382563799619,0.0237882081419229,1.024681568145752,0.0516497306525707,0.0523499846458435,0.0523408576846122,0.0517071783542633,0.0527281127870082,0.0529703572392463,0.050848476588726,0.0514187179505825,0.0515454709529876,0.0517352782189846,0.0515981018543243,0.0515528693795204,0.0520343221724033,0.0090936683118343,0.9981062412261964,0.9939699172973632,0.054833099246025,,72,,,,,1.9148935079574585,2.3111014366149902,10.085527420043944
18.0,,4,,,0.1106801033020019,0.0010000000474974,8939.0,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,3.014644145965576,1.006824016571045,2.3070340156555176,10.044589042663574,1.9148935079574585,,
,,5,1.2193758487701416,2.299139976501465,,,,,0.0525136180222034,0.0279941782355308,0.008934112265706,0.9980611205101012,0.0517661198973655,0.0522939302027225,0.052400566637516,0.051767025142908,0.0524832792580127,0.0523858219385147,0.0514745935797691,0.05289913341403,0.0528298318386077,0.0525427982211113,0.0529175326228141,0.0530634969472885,0.0520263127982616,0.0091465301811695,0.997762143611908,0.0521111786365509,0.0277579016983509,0.0254501532763242,1.027694821357727,0.0516452565789222,0.0524578094482421,0.0523998029530048,0.051710307598114,0.0527361556887626,0.0529727637767791,0.0508586876094341,0.0514216087758541,0.0515356212854385,0.0517246089875698,0.0515954159200191,0.0515415333211422,0.0520154982805252,0.0090620713308453,0.9980490803718568,0.993972897529602,0.0553468018770217,,90,,,,,0.4255318939685821,2.305809497833252,10.032296180725098
