epoch,step,train_accuracy,train_loss,val_accuracy,val_loss,phdim_0
0,5,7.5200003385543805,2733.391918945313,8.3947829902172,1366.375732421875,
1,10,10.64000055193901,1121.1565063476562,12.33565285801887,950.281982421875,
2,15,13.720000684261318,894.8915649414063,12.38608732819557,824.1798706054688,
3,20,12.12000057101249,736.65283203125,11.12000048160553,627.9876708984375,
4,25,10.48000022768974,546.5567443847656,9.83130484819412,484.1613464355469,
5,30,9.16000053286552,442.0839416503906,9.06608700752258,430.7203674316406,
6,35,8.60000029206276,396.7906066894532,8.631304651498791,391.835205078125,
7,40,8.20000022649765,354.94389648437505,8.709565550088879,349.8669128417969,
8,45,8.96000042557716,313.5066223144531,9.146087616682047,316.3140869140625,
9,50,9.44000035524368,283.5182189941406,9.56173911690712,295.1194152832031,
10,55,10.08000046014785,263.3095703125,9.8521739244461,277.9123229980469,
11,60,10.60000047087669,245.3082733154297,9.98782664537429,260.9906616210937,
12,65,10.32000049948692,228.4623291015625,10.00347882509231,246.199462890625,
13,70,10.32000035047531,214.3004425048828,10.126956552267073,234.1014862060547,
14,75,10.88000044226646,202.27984313964845,10.23826152086258,223.3274383544922,
15,80,10.92000052332878,191.34335021972657,10.31304374337196,213.5997772216797,
16,85,11.0400004684925,181.3330749511719,10.39304360747337,204.7926788330078,
17,90,11.32000029087066,172.4403076171875,10.48173978924751,196.79248046875,
18,95,11.52000054717063,164.2810028076172,10.52869632840156,189.419662475586,
19,100,11.36000052094459,156.7698974609375,10.58956533670425,182.581283569336,
20,105,11.56000062823295,149.92877502441408,10.63304394483566,176.18875122070312,
21,110,11.520000696182253,143.50883789062502,10.73391363024711,170.22015380859375,
22,115,11.56000062823295,137.58989562988282,10.73217391967773,164.77513122558594,
23,120,11.56000047922134,132.1852752685547,10.69391369819641,159.6468048095703,
24,125,11.800000518560411,127.03657684326174,10.67652180790901,154.8394317626953,
25,130,12.00000062584877,122.33177490234377,10.76521798968315,150.29444885253906,
26,135,12.00000032782554,117.88383789062502,10.7547827064991,146.05372619628906,
27,140,12.04000055789947,113.7269561767578,10.7947826385498,142.04420471191406,
28,145,12.04000040888786,109.83911743164064,10.81391349434852,138.3489532470703,
29,150,11.96000039577484,106.17553863525391,10.81565245985984,134.7755584716797,
30,155,11.92000076174736,102.71683349609376,10.78087016940116,131.390625,
31,160,11.80000066757202,99.48575897216796,10.73565259575843,128.25555419921875,
32,165,11.76000073552131,96.42436065673829,10.78956574201583,125.24166870117188,
33,170,11.60000056028366,93.52610321044922,10.78956574201583,122.3876724243164,
34,175,11.52000054717063,90.84529266357424,10.78608706593513,119.6185073852539,
35,180,11.64000079035759,88.24714813232424,10.84521785378456,117.0465087890625,
36,185,11.840000450611113,85.80257720947267,10.82087010145187,114.62039947509766,
37,190,12.00000062584877,83.46721343994142,10.87826117873191,112.2330551147461,
38,195,11.92000046372413,81.22665405273438,10.88695675134658,109.93550872802734,
39,200,12.00000062584877,79.11046600341797,10.91130450367927,107.80425262451172,
40,205,11.96000054478645,77.03294677734375,10.91478317975997,105.72702026367188,
41,210,11.96000039577484,75.11703948974609,10.90608760714531,103.76020050048828,
42,215,11.88000038266182,73.23770294189454,10.90434789657592,101.81143188476562,
43,220,11.880000531673431,71.4494369506836,10.9165221452713,99.98788452148438,
44,225,11.88000068068504,69.74457702636718,10.88173985481262,98.2325439453125,
45,230,11.840000450611113,68.1004119873047,10.90782657265663,96.52284240722656,
46,235,11.840000450611113,66.5091064453125,10.928696393966671,94.87114715576172,
47,240,11.7600005865097,65.0042938232422,10.99130436778068,93.2942886352539,
48,245,11.92000061273575,63.54504776000977,10.97739189863205,91.78743743896484,
49,250,11.880000531673431,62.1475341796875,10.96695661544799,90.31372833251952,
50,255,12.08000048995018,60.79555740356445,11.0104352235794,88.88392639160156,
51,260,11.96000069379806,59.49440155029298,10.96695661544799,87.50700378417969,
52,265,11.880000531673431,58.24201049804688,10.9026089310646,86.1726303100586,
53,270,12.08000048995018,57.04738311767579,10.92695668339729,84.92515563964844,
54,275,12.04000070691108,55.88261947631837,10.94608753919601,83.68434143066406,
55,280,12.12000057101249,54.747405242919925,10.95130443572998,82.49071502685547,
56,285,12.00000047683716,53.67222747802735,10.98956540226936,81.35319519042969,
57,290,12.00000047683716,52.61280670166016,11.02260872721672,80.22978973388672,
58,295,11.88000068068504,51.61356735229493,11.04000061750412,79.14868927001953,
59,300,11.880000531673431,50.63474502563477,11.00869625806808,78.11853790283203,
60,305,11.80000066757202,49.70175399780274,10.97217425704002,77.14595794677734,
61,310,11.7600005865097,48.79340744018555,10.95304414629936,76.12909698486328,
62,315,11.7600005865097,47.899972534179696,10.97739189863205,75.15866088867188,
63,320,12.04000070691108,47.04979553222657,10.99478304386138,74.24559020996094,
64,325,11.72000050544738,46.21266632080078,10.98608747124672,73.35430145263672,
65,330,11.88000038266182,45.39923629760742,11.02956533432006,72.47269439697266,
66,335,12.00000047683716,44.61414337158203,11.04521751403808,71.60662078857422,
67,340,12.08000063896179,43.85224914550781,11.11130490899086,70.7599105834961,
68,345,12.08000063896179,43.086594390869145,11.06782630085945,69.91948699951172,
69,350,12.20000073313713,42.37991485595703,11.06260940432548,69.1256103515625,
70,355,12.12000057101249,41.658450317382815,11.09391376376152,68.3660659790039,
71,360,12.08000048995018,40.97018585205078,11.06956526637077,67.58106231689453,
72,365,12.08000048995018,40.29047164916993,11.1182615160942,66.81863403320312,
73,370,12.12000072002411,39.63636779785156,11.1182615160942,66.10306549072266,
74,375,12.32000052928924,38.99643707275391,11.13391369581222,65.38719940185547,
75,380,12.44000062346458,38.38733596801758,11.12521812319755,64.68128967285156,
76,385,12.56000086665153,37.7753288269043,11.14956587553024,64.0053939819336,
77,390,12.44000077247619,37.18595809936524,11.21043488383293,63.33930969238281,
78,395,12.640000581741331,36.60901107788086,11.22434809803962,62.6732177734375,
79,400,12.760000228881829,36.03903427124024,11.198261380195609,62.0400276184082,
80,405,12.84000068902969,35.4930290222168,11.25913113355636,61.412742614746094,
81,410,12.9200005531311,34.95977630615235,11.26434803009033,60.80744171142578,
82,415,12.9600004851818,34.432030487060544,11.30260899662971,60.2010498046875,
83,420,12.84000068902969,33.925391387939456,11.33739203214645,59.61269378662109,
84,425,12.84000039100646,33.42317657470704,11.29217445850372,59.046024322509766,
85,430,12.68000066280365,32.94545974731446,11.29913106560707,58.49569320678711,
86,435,12.84000039100647,32.47520751953125,11.33391335606575,57.94874954223633,
87,440,12.72000059485435,32.01579055786133,11.36000007390976,57.40150451660156,
88,445,12.640000879764552,31.55651741027832,11.32347881793975,56.88492584228516,
89,450,12.68000066280365,31.12018623352051,11.35652214288711,56.36674880981445,
90,455,12.5600004196167,30.679228591918942,11.37217432260513,55.85261154174805,
91,460,12.64000043272972,30.25615234375,11.36173978447914,55.35436630249024,
92,465,12.72000044584274,29.838825988769536,11.41391322016716,54.8785285949707,
