Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc,E_0.5,E_1.0,E_2.0
800,3.041761136137359,0.2171140047834175,8.312383651733398,0.0,939.0683,274.22845,27.787329
1000,2.7710725514774084,0.290725484985384,8.371682167053223,0.00017711654268508679,840.4303,255.06598,27.835577
1200,2.510070105039975,0.3446718044113739,8.127342224121094,0.0005313496280552603,786.4197,247.07004,28.642422
1400,1.8728659201770776,0.5115599255912836,7.048924446105957,0.004605030109812256,720.57544,231.11322,27.769215
1600,1.3553107145648038,0.6999734254584108,6.078752517700195,0.019128586609989374,640.776,208.02682,25.443846
1800,1.0676583956442962,0.8062715918150412,5.389324188232422,0.03914275593340418,534.54553,173.3158,20.996408
2000,0.8471158515447129,0.8915758703162371,4.659859657287598,0.07155508324477507,403.4092,129.05942,15.189636
2200,0.6410857312799039,0.9572149880414563,3.7199745178222656,0.14948636202621324,287.00226,89.50609,9.990232
2400,0.4701190924758516,0.9891044379484454,2.737745761871338,0.2690400283386468,183.66803,55.00469,5.6796875
2600,0.3552744939562934,0.9986712729205421,1.9002667665481567,0.4399574920297556,110.15878,31.581263,2.995355
2800,0.3210372971214895,0.9994685091682168,1.5580735206604004,0.5313496280552603,56.84277,15.612223,1.3465497
3000,0.30204738544682824,0.9997342545841085,1.386762261390686,0.5954658165072618,26.78552,7.0479383,0.54704803
3200,0.28832429413018695,0.9997342545841085,1.281172752380371,0.6385051363797378,10.747662,2.634936,0.17906247
3400,0.2713185371140549,1.0,1.1611942052841187,0.7010272759475735,7.406191,1.8076025,0.12086424
3600,0.2543494787236461,1.0,1.0261861085891724,0.7722281261069784,5.498466,1.4167483,0.10849545
3800,0.24834695383965763,1.0,0.9627534747123718,0.8026921714488133,4.1995983,1.0902165,0.08549935
4000,0.24507711778652025,1.0,0.9312053322792053,0.8227063407722282,4.0664415,1.0151572,0.0737806
4200,0.24245370534025162,1.0,0.9095807671546936,0.8320935175345378,1.9318552,0.44294837,0.025428241
4400,0.24054951391225163,1.0,0.8901869654655457,0.8411264612114772,2.3698986,0.5699001,0.034179688
4600,0.2387176998040792,1.0,0.8723247647285461,0.8496280552603613,1.68939,0.3878166,0.022480477
4800,0.23687671564485746,1.0,0.8551076054573059,0.8568898335104499,2.3183398,0.52873707,0.030700197
5000,0.2355485571537948,1.0,0.8421378135681152,0.861140630534892,1.5253114,0.31910568,0.016051762
5200,0.23420600963738128,1.0,0.8349849581718445,0.8646829613885937,1.6340072,0.35430878,0.019257868
5400,0.23336347129365215,1.0,0.8292409777641296,0.8669854764434998,1.2443885,0.28692314,0.017972736
5600,0.2329072793477905,1.0,0.8274468183517456,0.8699964576691464,0.96771795,0.21037659,0.012113362
5800,0.23234596754637862,1.0,0.8254355788230896,0.869465108041091,0.626332,0.14897898,0.009864278
6000,0.231990782957333,1.0,0.8259595632553101,0.8653914275593341,1.0359921,0.2697197,0.018554688
6200,0.23170608125276587,1.0,0.8229075074195862,0.8662770102727595,1.2462163,0.31391385,0.020507812
6400,0.2315217748327899,1.0,0.8241148591041565,0.8643287283032235,1.5333233,0.3440615,0.018554688
6600,0.23154647322037483,1.0,0.8242665529251099,0.8664541268154445,0.7740016,0.15088835,0.005859375
6800,0.2312734779480319,1.0,0.8205935955047607,0.8691108749557208,0.5637775,0.10669418,0.00390625
7000,0.23086072722315756,1.0,0.8216629028320312,0.8655685441020191,0.17677669,0.03125,0.0009765625
7200,0.23033834450934879,1.0,0.8176199197769165,0.8687566418703507,0.19058116,0.036321178,0.001319228
7400,0.2297637151406225,1.0,0.8153704404830933,0.8703506907545164,0.69990283,0.16699432,0.01010829
7600,0.22927398361521073,1.0,0.8150758743286133,0.8722989727240524,1.1533501,0.27479088,0.016944228
7800,0.22887167906764339,1.0,0.814485490322113,0.8691108749557208,0.9627689,0.23846969,0.015625
8000,0.22881866062127812,1.0,0.816577136516571,0.8676939426142402,0.45344716,0.10779656,0.006835938
8200,0.22859704423197844,1.0,0.8186516165733337,0.8689337584130358,0.2102241,0.044194173,0.0019531249
8400,0.22863766481719244,1.0,0.8190439939498901,0.8676939426142402,0.2102241,0.044194173,0.0019531249
8600,0.22855159236400838,1.0,0.82260662317276,0.8659227771873893,0.2102241,0.044194173,0.0019531249
8800,0.228584309520634,1.0,0.8241323828697205,0.8662770102727595,0.09966149,0.009932414,9.865284e-05
9000,0.2288447888590318,1.0,0.8259397745132446,0.8655685441020191,0.4058477,0.10368241,0.008887716
9200,0.22854513104548646,1.0,0.8270035982131958,0.8630889125044279,0.79284847,0.17912659,0.011817403
9400,0.22833417405513193,1.0,0.8293554782867432,0.8630889125044279,1.1936537,0.25964195,0.015089756
9600,0.22836187914698927,1.0,0.8296799659729004,0.863266029047113,1.1748068,0.23140371,0.009131728
9800,0.22819111524919483,1.0,0.8317681550979614,0.8616719801629472,1.0939922,0.24970953,0.014991103
10000,0.22807597787716652,1.0,0.8316628336906433,0.8618490967056323,1.0467403,0.23169418,0.013671875
10200,0.2281385416319926,1.0,0.8322083950042725,0.8609635139922068,1.7539586,0.39989203,0.0234375
10400,0.2280443187148654,1.0,0.8343996405601501,0.8570669500531349,1.4143249,0.2931979,0.013671875
10600,0.228353388419406,1.0,0.8355244398117065,0.8565356004250797,1.4875481,0.3244479,0.016601562
10800,0.2281975264074699,1.0,0.8347804546356201,0.8584838823946157,0.8137775,0.16919418,0.0078125
11000,0.22823272696556388,1.0,0.8365036249160767,0.8581296493092455,0.6370008,0.13794418,0.0068359375
11200,0.22822148256833458,1.0,0.8368369340896606,0.8586609989373007,0.58584046,0.13871568,0.00980324
11400,0.22813050974771248,1.0,0.837329089641571,0.8581296493092455,0.6818025,0.18827152,0.016639177
11600,0.22819556573857788,1.0,0.8369043469429016,0.8588381154799858,1.3789213,0.35320643,0.026404804
11800,0.22804064288786868,1.0,0.8395087122917175,0.8554729011689692,1.5921795,0.36313882,0.023267413
12000,0.22789920693837104,1.0,0.8400890231132507,0.853170386114063,0.9576788,0.20075566,0.010534485
12200,0.22794307202868977,1.0,0.8388081192970276,0.8568898335104499,1.1454885,0.2503115,0.015614603
12400,0.22794847052179054,1.0,0.8390112519264221,0.8540559688274885,0.88492846,0.21449074,0.014845744
12600,0.22804797907839294,1.0,0.8399386405944824,0.8545873184555437,0.88492846,0.21449074,0.014845744
12800,0.22794567275056807,1.0,0.8398101925849915,0.8533475026567482,0.3061862,0.09375,0.0087890625
13000,0.22788002817373532,1.0,0.840171754360199,0.8538788522848034,0.0,0.0,0.0
13200,0.2279130548729784,1.0,0.8407184481620789,0.852993269571378,0.0,0.0,0.0
13400,0.22797850196091635,1.0,0.8399421572685242,0.8545873184555437,0.0,0.0,0.0
13600,0.22771254767137356,1.0,0.8397056460380554,0.8521076868579526,0.0,0.0,0.0
13800,0.2278767370406282,1.0,0.8411275148391724,0.8517534537725824,0.0,0.0,0.0
14000,0.22774087480652247,1.0,0.8397802710533142,0.8517534537725824,0.0,0.0,0.0
14200,0.22826488487919436,1.0,0.8420030474662781,0.8505136379737868,0.0,0.0,0.0
14400,0.227707868037533,1.0,0.8413884043693542,0.8494509387176762,0.23265122,0.054126587,0.0029296875
14600,0.2278742878607477,1.0,0.8414389491081238,0.8506907545164718,0.6446208,0.14897898,0.009124166
14800,0.22767287801229474,1.0,0.841370701789856,0.8512221041445271,0.73051095,0.1563561,0.009178588
15000,0.22769721804338663,1.0,0.8422349691390991,0.8492738221749911,0.49785972,0.102229506,0.0062489007
