batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,phdim_0,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
10.0,0,,,0.0508341789245605,0.0,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.2663807868957519,0.0,4.856956481933594,128.6321258544922,0.0,,
,1,0.0,3.1472814083099365,,,,,0.0512464344501495,0.0259887631982564,0.0044085136614739,0.9994332790374756,0.0513269454240798,0.0522392503917217,0.0510910898447036,0.0507522113621234,0.050747700035572,0.051082257181406,0.0513111427426338,0.0513381101191043,0.0511753968894481,0.0514483302831649,0.051915269345045,0.05169178545475,0.0519136376678943,0.0044399006292223,0.9996747970581056,0.0511374212801456,0.0259369630366563,0.0049786292947828,1.0005964040756226,0.0509459264576435,0.0515986792743206,0.0510673448443412,0.0512000247836113,0.0515518449246883,0.0517188906669616,0.0514611415565013,0.0512838624417781,0.0514464974403381,0.0513574928045272,0.0509458966553211,0.051202792674303,0.0509448498487472,0.0045292903669178,0.9994621276855468,0.997343361377716,0.0512952096760273,,10,,,,,0.0,3.15728497505188,23.506689071655277
10.0,1,,,0.079322338104248,0.0010000000474974,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1.4868478775024414,0.0,2.9140543937683105,18.43137550354004,0.0,,
,2,0.0,2.493635892868042,,,,,0.0518466345965862,0.0269798506051301,0.0075323930941522,0.9988313317298888,0.0516686104238033,0.0528128631412982,0.0516670085489749,0.0511032454669475,0.0518265701830387,0.052161581814289,0.051779706031084,0.0518277585506439,0.0517551936209201,0.0518979467451572,0.0522771216928958,0.0522539764642715,0.0522330775856971,0.0076396181248128,0.99961256980896,0.0515942424535751,0.0268288291990757,0.0108137438073754,1.0049082040786743,0.0512631423771381,0.0518441013991832,0.0513546653091907,0.0516186505556106,0.0522647909820079,0.0524073168635368,0.0518667623400688,0.0518622435629367,0.0521041937172412,0.0516592152416706,0.0513061881065368,0.0517052374780178,0.0512880943715572,0.0077835842967033,0.9987377524375916,0.9971450567245485,0.0519188493490219,,20,,,,,0.0,2.504966974258423,12.243154525756836
10.0,2,,,0.0523934364318847,0.0010000000474974,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1.0494966506958008,1.2755101919174194,2.440248250961304,11.475890159606934,0.0,,
,3,2.062074899673462,2.35542106628418,,,,,0.0523042045533657,0.0276451483368873,0.0085523994639515,0.9986047744750975,0.0519071519374847,0.0533484332263469,0.0522210635244846,0.0513318330049514,0.0527934283018112,0.0531081520020961,0.0521470308303833,0.0523503087460994,0.0523401014506816,0.0520759858191013,0.052613791078329,0.0527177676558494,0.052420750260353,0.0088415471836924,0.9996699690818788,0.0519621893763542,0.0273803994059562,0.0158303193747997,1.0107972621917725,0.0514175444841384,0.052027128636837,0.0515420474112033,0.0517989508807659,0.0528150238096714,0.0529485158622264,0.0520332008600235,0.0523684993386268,0.0527113080024719,0.0518141128122806,0.0515107102692127,0.0519713833928108,0.0514768846333026,0.0088048325851559,0.9984049201011658,0.9970364570617676,0.0528236478567123,,30,,,,,2.0403826236724854,2.366628170013428,10.661383628845217
10.0,3,,,0.0565364360809326,0.0010000000474974,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.3118226528167724,2.062074661254883,2.344759702682495,10.430766105651855,2.0403826236724854,,
,4,2.062074899673462,2.3157660961151123,,,,,0.0525338761508464,0.0279604606330394,0.0089763216674327,0.9984644651412964,0.0520509704947471,0.053684938699007,0.0525671876966953,0.0515188984572887,0.0532674826681613,0.0535731874406337,0.0523206554353237,0.0526888854801654,0.0526947975158691,0.0522035844624042,0.0527871586382389,0.0529436543583869,0.0525084361433982,0.009347622282803,0.9996821880340576,0.0521560981869697,0.0276428144425153,0.0193549171090126,1.015745997428894,0.0515082627534866,0.0521221011877059,0.0516337864100933,0.0519007369875907,0.0530860871076583,0.0532284826040267,0.0521246492862701,0.0526312105357646,0.0530419610440731,0.0518921948969364,0.0516163483262062,0.052105214446783,0.0515812374651432,0.0092705572023987,0.9982389211654664,0.9969949126243592,0.0536394417285919,,40,,,,,2.0403826236724854,2.3271267414093018,10.248453140258787
10.0,4,,,0.0509262084960937,0.0010000000474974,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0.9219317436218262,2.1045918464660645,2.3139071464538574,10.113863945007324,2.0403826236724854,,
,5,2.359693765640259,2.292277336120605,,,,,0.0526332557201385,0.0281001944094896,0.0091446842998266,0.9984538555145264,0.0521837100386619,0.0538911148905754,0.0528070703148841,0.0517952553927898,0.0534745752811431,0.0537765435874462,0.0523823462426662,0.0529336482286453,0.0529433898627758,0.0523785203695297,0.0528714321553707,0.0530435740947723,0.0525370724499225,0.0095701469108462,0.9997599124908448,0.0522418804466724,0.0277608837932348,0.0216387789696455,1.019462823867798,0.0515542477369308,0.0521825477480888,0.0516897216439247,0.0519683584570884,0.0532076247036457,0.0533565320074558,0.0521756447851657,0.0527410544455051,0.0531855970621109,0.0519348755478858,0.0516393333673477,0.0520992428064346,0.0516256652772426,0.0094450255855917,0.9982125163078308,0.9969878196716307,0.0542674027383327,,50,,,,,2.252922296524048,2.3049991130828857,10.024168968200684
10.0,5,,,0.0568797588348388,0.0010000000474974,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0.297346830368042,2.7636055946350098,2.2902274131774902,9.87718391418457,2.252922296524048,,
