epoch,step,train_accuracy,train_loss,val_accuracy,val_loss,phdim_0,e_alpha
0.0,4.0,14.100000634789469,761.7917098999023,13.58620822429657,352.0670471191406,,
1.0,8.0,15.50000049173832,308.4103546142578,15.413793921470642,288.1404724121094,,
2.0,12.0,16.200000792741776,272.84971618652344,13.76207023859024,239.5789031982422,,
3.0,16.0,14.250000566244124,204.2990493774414,11.567241698503494,163.30059814453125,,
4.0,20.0,11.900000274181366,142.46172332763672,11.510345339775084,126.04621124267578,,
5.0,24.0,12.150000594556332,116.789701461792,12.096552550792694,113.38423919677734,,
6.0,28.0,12.550000287592413,105.33562088012695,12.10000067949295,102.94700622558594,,
7.0,32.0,12.25000023841858,92.8476104736328,11.882758885622025,90.04227447509766,,
8.0,36.0,11.950000561773775,79.41800117492676,11.415518075227736,79.85921478271484,,
9.0,40.0,11.300000548362732,70.14611053466797,11.065518110990524,74.19683074951172,,
10.0,44.0,11.050000227987766,64.90757083892822,11.0051728785038,70.02799987792969,,
11.0,48.0,11.150000616908072,60.33404350280762,11.151725053787231,65.48741912841797,,
12.0,52.0,11.350000277161598,55.58659362792969,11.429310590028765,61.10791015625,,
13.0,56.0,12.000000476837158,51.42566394805908,11.81206926703453,57.62577819824219,,
14.0,60.0,12.250000424683094,48.16234302520752,12.1827594935894,54.86283493041992,,
15.0,64.0,12.450000643730164,45.474244117736816,12.436207383871078,52.3720932006836,,
16.0,68.0,12.650000490248203,42.92861557006836,12.467242032289503,50.06705093383789,,
17.0,72.0,12.850000523030758,40.60426902770996,12.544828653335571,48.02248764038086,,
18.0,76.0,12.850000150501728,38.52157974243164,12.67586201429367,46.1988639831543,,
19.0,80.0,13.150000385940077,36.6899299621582,12.6948282122612,44.5009880065918,,
20.0,84.0,13.300000503659248,34.99747371673584,12.736207246780396,42.90818786621094,,
21.0,88.0,13.350000604987144,33.42794466018677,12.784484028816223,41.397491455078125,,
22.0,92.0,13.15000057220459,31.981678009033203,12.781034409999847,40.018985748291016,,
23.0,96.0,13.200000673532486,30.668673038482662,12.872414290905,38.742454528808594,,
24.0,100.0,13.000000640749931,29.44550466537476,12.906897068023682,37.57049560546875,,
25.0,104.0,13.15000057220459,28.32018566131592,12.872414290905,36.48313522338867,,
26.0,108.0,13.300000876188278,27.285457134246823,12.887932360172272,35.47093963623047,,
27.0,112.0,13.050000369548798,26.318030834198,12.858621776103972,34.518245697021484,,
28.0,116.0,13.0000002682209,25.40360450744629,12.818966805934906,33.61891174316406,,
29.0,120.0,13.000000454485416,24.52901077270508,12.829311192035677,32.759979248046875,,
30.0,124.0,13.000000827014446,23.71558380126953,12.849999964237211,31.944393157958984,,
31.0,128.0,13.100000843405724,22.939041137695312,12.848275899887083,31.174070358276367,,
