epoch,step,train_accuracy,train_loss,val_accuracy,val_loss,phdim_0
0,10,10.100000351667404,235675.39453125003,9.84545424580574,111790.1875,
1,20,8.480000495910645,76129.80703125,7.836363464593887,54457.859375,
2,30,7.060000263154508,49185.65625000001,6.799999624490738,44908.1171875,
3,40,6.920000202953816,40186.397265625004,7.890909165143967,35755.90234375,
4,50,7.860000357031821,32375.23046875,9.254544973373411,30358.296875,
5,60,9.140000566840172,28199.002148437507,9.87636372447014,27405.29296875,
6,70,9.38000038266182,25488.587109375003,9.883636236190796,24975.169921875,
7,80,9.460000470280647,23247.0306640625,9.89818125963211,23004.123046875,
8,90,9.620000422000889,21454.5703125,9.889090806245804,21430.498046875,
9,100,9.980000406503676,19945.338671875,10.069090873003006,20053.724609375,
10,110,9.800000563263897,18636.3181640625,10.178181529045103,18867.662109375,
11,120,9.960000589489937,17489.494921875,10.32545417547226,17822.73046875,
12,130,10.220000445842745,16475.14951171875,10.354544967412949,16894.052734375,
13,140,10.100000351667404,15572.28603515625,10.372727364301682,16052.6328125,
14,150,10.280000567436218,14753.098535156252,10.423636436462402,15301.7001953125,
15,160,10.300000458955768,14018.638183593752,10.436363518238068,14615.599609375,
16,170,10.480000525712969,13349.6904296875,10.51090881228447,13983.4775390625,
17,180,10.540000498294832,12735.441796875,10.530909150838852,13403.2080078125,
18,190,10.600000470876694,12171.10751953125,10.636363178491592,12871.0693359375,
19,200,10.480000376701357,11646.098339843751,10.61818152666092,12374.5576171875,
20,210,10.420000404119492,11166.50029296875,10.69454550743103,11913.2041015625,
21,220,10.320000350475317,10718.4658203125,10.639999806880953,11481.443359375,
22,230,10.360000506043434,10300.88486328125,10.627272725105286,11078.7109375,
23,240,10.40000043809414,9911.77421875,10.659999400377274,10703.24609375,
24,250,10.340000465512276,9547.934375,10.636363178491592,10345.931640625,
25,260,10.240000411868095,9199.348339843751,10.612726956605911,10016.7197265625,
26,270,10.100000426173212,8877.320019531251,10.656363517045977,9697.248046875,
27,280,10.200000405311584,8575.637158203126,10.64545437693596,9399.7109375,
28,290,10.200000554323196,8287.492626953124,10.627272725105286,9119.611328125,
29,300,10.100000426173212,8018.069238281251,10.58909073472023,8854.681640625,
30,310,10.08000046014786,7764.923925781251,10.594545304775238,8602.90234375,
31,320,9.960000440478323,7526.882373046877,10.55999994277954,8365.6015625,
32,330,9.92000050842762,7297.48525390625,10.574544966220856,8139.4609375,
33,340,9.82000045478344,7081.75576171875,10.53454503417015,7923.96875,
34,350,9.720000326633455,6875.324609375,10.552726686000824,7718.6494140625,
35,360,9.80000041425228,6678.424853515625,10.552726686000824,7522.9638671875,
36,370,9.800000488758087,6491.881298828126,10.556363314390182,7333.4482421875,
37,380,9.600000381469728,6313.168798828125,10.552726686000824,7155.435546875,
38,390,9.64000053703785,6142.375244140625,10.516363382339478,6983.77099609375,
39,400,9.600000381469725,5978.445361328125,10.552726686000824,6815.658203125,
40,410,9.840000420808794,5819.946044921875,10.530909150838852,6656.16162109375,
41,420,9.920000433921814,5669.636279296875,10.545454174280168,6501.75390625,
42,430,9.780000448226929,5523.34755859375,10.470908880233765,6352.75732421875,
43,440,9.820000529289246,5384.631494140626,10.507272183895113,6210.970703125,
44,450,9.80000041425228,5250.931591796875,10.507272183895113,6071.64599609375,
45,460,9.900000542402267,5120.762890625,10.501817613840103,5940.37158203125,
46,470,9.920000508427622,4999.12373046875,10.505454242229462,5812.97509765625,
47,480,9.840000420808792,4881.630810546874,10.45454517006874,5690.06396484375,
48,490,9.840000495314596,4766.742724609375,10.45636311173439,5571.62109375,
49,500,9.680000618100166,4656.964013671875,10.372727364301682,5455.68359375,
50,510,9.600000455975533,4548.831884765626,10.414545238018036,5343.3251953125,
51,520,9.600000306963922,4446.565722656251,10.416363179683684,5234.78564453125,
52,530,9.560000523924828,4345.504638671875,10.42909100651741,5131.09521484375,
53,540,9.500000476837158,4249.597705078126,10.463636368513107,5028.580078125,
54,550,9.44000042974949,4155.58076171875,10.40727272629738,4929.80126953125,
55,560,9.38000038266182,4064.920190429687,10.385454446077349,4833.7177734375,
56,570,9.44000042974949,3977.7098632812495,10.383635759353638,4741.0888671875,
57,580,9.42000038921833,3892.682958984375,10.370908677577972,4651.490234375,
58,590,9.60000030696392,3808.772387695313,10.40545403957367,4563.25048828125,
59,600,9.360000491142271,3729.201123046876,10.354544967412949,4477.2705078125,
60,610,9.380000308156012,3651.59931640625,10.310909152030945,4393.3740234375,
61,620,9.340000450611116,3576.329931640625,10.332726687192917,4312.8935546875,
62,630,9.340000376105309,3503.334545898437,10.309090465307236,4235.28369140625,
63,640,9.260000362992288,3432.679760742188,10.338181257247925,4159.259765625,
64,650,9.28000032901764,3363.7543212890632,10.29636338353157,4083.8896484375,
