epoch,step,train_accuracy,train_loss,val_accuracy,val_loss,phdim_0,e_alpha
0,5,14.480000734329224,2814.518286132813,13.495652377605438,1343.9710693359375,,
1,10,15.000000596046448,1165.7390869140625,14.98434841632843,1062.651123046875,,
2,15,15.48000037670136,985.4478515625,13.168695569038391,848.6275024414062,,
3,20,12.720000445842745,718.9140380859375,11.35130450129509,590.1420288085938,,
4,25,11.440000683069233,523.0640441894532,11.457391828298569,480.6918029785156,,
5,30,11.400000303983688,447.7324340820313,11.758261173963549,434.5470886230469,,
6,35,11.720000505447388,398.6628845214845,11.554782837629318,384.0874938964844,,
7,40,11.120000481605532,344.49273071289065,11.139130592346191,338.4960021972656,,
8,45,10.760000348091127,302.7876708984375,10.638261586427689,311.0359802246094,,
9,50,10.520000457763674,277.1135681152344,10.554783046245577,290.934326171875,,
10,55,10.480000525712969,255.3851379394532,10.841739177703856,270.315673828125,,
11,60,10.760000497102736,234.71650390625,11.1826092004776,252.1338348388672,,
12,65,11.400000452995302,218.1806640625,11.434783041477203,237.39227294921875,,
13,70,11.60000041127205,204.1407897949219,11.61913052201271,224.92616271972656,,
14,75,11.720000654458998,191.9040313720704,11.848696321249008,213.7159881591797,,
15,80,11.760000437498094,180.63526306152343,11.829565465450289,203.69952392578125,,
16,85,11.760000586509705,170.5716705322266,11.935652792453766,194.752685546875,,
17,90,12.240000367164612,161.65190734863282,11.946087330579758,186.5043792724609,,
18,95,12.28000044822693,153.57010498046876,11.980869621038435,178.75753784179688,,
19,100,12.280000448226929,146.09224548339844,12.012173980474472,171.59011840820312,,
20,105,12.720000594854357,139.2856170654297,11.996521800756454,165.07093811035156,,
21,110,12.520000487565994,133.07457275390627,11.97565272450447,159.1032257080078,,
22,115,12.280000746250153,127.3525161743164,11.987826228141785,153.52740478515625,,
23,120,12.20000058412552,121.96195220947266,12.008696049451828,148.36398315429688,,
24,125,12.520000636577608,117.01197967529298,12.050434947013857,143.56912231445312,,
25,130,12.440000623464584,112.446484375,11.986087262630464,139.00418090820312,,
26,135,12.440000474452974,108.2006607055664,11.970435082912443,134.68548583984375,,
27,140,12.4800007045269,104.15793151855468,11.923478543758392,130.6816864013672,,
28,145,12.400000393390656,100.42142791748049,11.980869621038435,126.83769989013672,,
29,150,12.520000636577608,96.90639953613282,11.998261511325836,123.28714752197266,,
30,155,12.440000772476196,93.54323425292968,11.987826228141785,119.89562225341795,,
31,160,12.320000380277635,90.4734115600586,11.986087262630464,116.70822143554688,,
