epoch,step,train_accuracy,train_loss,val_accuracy,val_loss,phdim_0
0,5,10.04000037908554,1375.2619140625,12.2330442070961,969.3432006835938,
1,10,10.48000037670135,828.1566528320312,10.60695722699165,687.0306396484375,
2,15,8.24000030755996,597.0956542968751,9.234783053398129,516.3738403320312,
3,20,8.20000037550926,449.6417663574219,8.99652168154716,405.58935546875,
4,25,8.0000003427267,362.5767272949219,8.84000062942504,348.8876647949219,
5,30,7.760000228881831,311.14414672851564,9.12695676088333,302.9662780761719,
6,35,7.92000040411949,267.9440093994141,9.8521739244461,265.6100158691406,
7,40,8.80000039935112,234.7363983154297,10.5060875415802,238.5578765869141,
8,45,9.68000039458275,211.3024566650391,10.73217391967773,219.0227813720703,
9,50,9.88000035285949,192.54190368652343,10.8626089990139,202.39927673339844,
10,55,9.96000036597252,176.40546264648438,10.86956560611724,188.2530517578125,
11,60,9.8400005698204,162.93580017089846,10.89739203453064,176.4816131591797,
12,65,10.00000044703483,151.41786499023436,10.88869571685791,166.1061553955078,
13,70,9.80000048875808,141.35501098632812,10.96521764993667,156.82354736328125,
14,75,9.8400005698204,132.36837768554688,10.89739203453064,148.6566925048828,
15,80,9.92000043392181,124.47526092529296,10.928696393966671,141.27626037597656,
16,85,10.32000049948692,117.34146881103516,10.87130457162857,134.60353088378906,
17,90,10.32000035047531,110.97974548339845,10.89913100004196,128.48553466796875,
18,95,10.2800004184246,105.11051635742189,10.97565218806266,122.88333892822266,
19,100,10.40000051259994,99.72384643554688,10.98782643675804,117.74266052246094,
20,105,10.24000033736228,94.84357299804688,10.97913086414337,113.00816345214844,
21,110,10.40000051259994,90.32364349365236,11.04347854852676,108.5558090209961,
22,115,10.64000040292739,86.12957916259765,11.1286960542202,104.48118591308594,
23,120,10.64000055193901,82.29099578857422,11.16521805524826,100.62273406982422,
24,125,10.64000055193901,78.67864837646485,11.13739162683487,97.05768585205078,
25,130,10.560000538825989,75.34051513671875,11.20521798729896,93.69422149658205,
26,135,10.52000060677528,72.22284240722657,11.175652593374249,90.51667785644533,
27,140,10.64000040292739,69.29656829833985,11.22434809803962,87.5057601928711,
28,145,10.52000060677528,66.58170623779297,11.20695695281028,84.66100311279297,
29,150,10.76000049710273,63.99381561279297,11.18608713150024,82.02974700927734,
30,155,10.76000049710273,61.56690139770508,11.23304367065429,79.50220489501953,
31,160,10.84000036120414,59.30944671630859,11.26260906457901,77.08020782470703,
32,165,11.00000038743019,57.16879043579102,11.22956573963165,74.82962036132812,
33,170,11.08000054955482,55.14239349365234,11.24521791934967,72.71615600585938,
34,175,11.160000413656231,53.25492248535157,11.273043602705,70.67456817626953,
35,180,10.960000604391093,51.47618789672852,11.25043481588363,68.75025939941406,
36,185,11.0000005364418,49.77914505004883,11.27826124429702,66.9266357421875,
37,190,11.28000050783157,48.16861114501954,11.25913113355636,65.18851470947266,
38,195,11.12000048160553,46.63462600708009,11.31652221083641,63.510372161865234,
39,200,11.20000049471855,45.19348831176758,11.32173985242843,61.9272689819336,
40,205,11.16000056266784,43.81349258422852,11.318261176347727,60.43730163574219,
41,210,11.36000052094459,42.5012321472168,11.35652214288711,58.98183441162109,
42,215,11.12000048160553,41.26005477905274,11.42956539988517,57.59528350830078,
43,220,11.16000056266784,40.086727142333984,11.46434843540191,56.26178741455078,
44,225,11.00000038743019,38.96285629272461,11.44000068306922,55.01872634887695,
45,230,11.0800002515316,37.8694206237793,11.46782636642456,53.78895950317383,
46,235,11.00000038743019,36.83086318969727,11.51304394006729,52.62282180786133,
47,240,11.12000048160553,35.85286178588867,11.5026094019413,51.48147964477539,
48,245,11.20000049471855,34.888457489013675,11.50608733296394,50.40696334838867,
49,250,11.20000049471855,33.98333816528321,11.59130483865737,49.36582946777344,
50,255,11.20000034570694,33.11165618896485,11.70782670378685,48.36114501953125,
51,260,11.44000053405761,32.26899948120118,11.73913106322288,47.40280532836914,
52,265,11.44000053405761,31.4644157409668,11.76173985004425,46.48014450073242,
53,270,11.56000047922134,30.69351387023925,11.79826110601425,45.55122756958008,
54,275,11.60000041127204,29.94111061096192,11.857391893863667,44.69276428222656,
55,280,11.680000722408291,29.22509384155273,11.84347867965698,43.85429763793945,
56,285,11.56000033020973,28.54186172485352,11.91652193665504,43.06142044067383,
57,290,11.60000056028366,27.868843460083013,11.975652724504467,42.28121566772461,
58,295,11.92000076174736,27.240497207641603,11.97217404842376,41.53677368164063,
59,300,11.8000005185604,26.62036781311036,11.996521800756453,40.82234191894531,
60,305,11.880000531673431,26.02597656250001,11.99826151132583,40.11280822753906,
61,310,11.96000039577484,25.450049591064456,12.03130483627319,39.42726135253906,
62,315,11.8000005185604,24.89721298217773,12.088695913553227,38.762393951416016,
63,320,11.7600005865097,24.35472068786621,12.12000027298927,38.10495376586914,
64,325,11.68000057339668,23.83722839355469,12.12695688009262,37.46797180175781,
65,330,11.880000531673431,23.329681777954104,12.17391341924667,36.86832046508789,
66,335,12.00000062584877,22.83884582519531,12.14260905981063,36.27348709106445,
67,340,11.7600005865097,22.37127685546875,12.2330442070961,35.68585205078125,
68,345,11.64000049233436,21.906609725952148,12.24173977971077,35.11604690551758,
69,350,11.84000059962272,21.465054702758792,12.25043535232544,34.564605712890625,
70,355,11.96000054478645,21.03024635314941,12.22782656550407,34.019493103027344,
71,360,12.04000055789947,20.61478958129884,12.26782649755477,33.479942321777344,
72,365,12.00000047683715,20.20762252807617,12.281739711761473,32.95998764038086,
73,370,11.8000005185604,19.8140811920166,12.31304407119751,32.48032760620117,
74,375,11.80000066757202,19.433266067504885,12.3234786093235,31.99519920349121,
75,380,12.08000048995018,19.064624404907228,12.35652193427085,31.518346786499023,
76,385,12.08000063896179,18.70171127319336,12.33391314744949,31.06460762023925,
77,390,12.48000040650367,18.351496505737305,12.38782629370689,30.621192932128903,
78,395,12.40000039339065,18.017403411865235,12.424348294734951,30.18725204467773,
79,400,12.44000077247619,17.68311424255371,12.39304393529892,29.776166915893555,
80,405,12.5600004196167,17.367506790161134,12.37565279006958,29.36186408996582,
81,410,12.56000056862831,17.055146408081058,12.40521743893623,28.95395851135254,
82,415,12.48000055551529,16.752307510375978,12.39652186632156,28.55999755859375,
83,420,12.52000048756599,16.457033920288087,12.37565279006958,28.1757926940918,
84,425,12.56000056862831,16.166213989257812,12.41565272212028,27.810884475708008,
85,430,12.48000040650367,15.884560585021974,12.45739161968231,27.44903945922852,
86,435,12.56000056862831,15.612279510498048,12.462609261274329,27.08501243591309,
87,440,12.640000581741331,15.34607906341553,12.4852180480957,26.74163055419922,
