epoch,step,train_accuracy,train_loss,val_accuracy,val_loss,phdim_0
40608,406090,98.78000378608704,0.0870521835982799,37.38444447517395,3.709494113922119,
41420,414210,100.0,0.591502982378006,40.46888947486877,7.613341331481934,0.6821545958518982
42248,422490,100.0,0.4478434652090073,40.79333245754242,9.2654447555542,1.1076679229736328
43092,430930,100.0,0.8676782786846162,40.157777070999146,6.551629066467285,0.3035517036914825
43953,439540,100.0,0.394604703783989,41.00222289562225,7.9390106201171875,1.1529422998428345
44832,448330,100.0,0.8831063866615295,40.61111211776733,7.369176387786865,0.2331916838884353
45728,457290,100.0,0.3707535952329635,41.70888960361481,7.984587669372559,1.2687933444976809
45812,458130,100.0,1.275062246008929e-07,41.73555672168732,8.764565467834473,
46728,467290,100.0,0.8897874772548676,41.44000113010407,7.957280158996582,0.2222792655229568
47662,476630,100.0,0.4039240151643753,41.422224044799805,11.888315200805664,1.31127667427063
48615,486160,100.0,0.876673448085785,41.92000031471253,7.237082004547119,0.2452493607997894
49587,495880,100.0,0.8818966209888459,41.7044460773468,6.467594623565674,0.2368541955947876
50578,505790,100.0,0.8651081442832947,42.26000010967255,6.769852638244629,0.255072146654129
51001,510010,100.0,5.45750681339996e-06,42.52888858318329,6.417354106903076,
52021,520210,100.0,0.3537690699100494,41.74889028072357,13.732282638549805,1.218915343284607
53061,530610,100.0,0.8827619194984436,40.79333245754242,8.244336128234863,0.2361817210912704
54122,541220,100.0,0.3980885773897171,41.66888892650604,10.11065673828125,1.2408387660980225
55204,552040,100.0,0.875145423412323,38.09777796268463,10.371294975280762,0.2321152985095977
56308,563080,100.0,0.8831138134002686,38.84888887405396,11.347227096557615,0.2353038787841797
57434,574340,100.0,0.5063220143318177,40.52889049053192,8.961553573608398,0.9517783522605896
58582,585820,100.0,0.3798541665077209,41.52666628360748,11.616456985473633,1.1803816556930542
59753,597530,100.0,0.8771364331245423,41.6866660118103,8.22282600402832,0.2457918375730514
60463,604630,100.0,1.381635371444645e-07,41.70888960361481,9.06637954711914,
61672,616720,100.0,0.8780066668987276,41.66888892650604,8.517439842224121,0.243378147482872
62905,629050,100.0,0.877325338125229,41.96000099182129,7.192397594451904,0.2476309090852737
64163,641630,100.0,0.3984480530023575,39.45555686950684,9.09685230255127,1.238506555557251
65446,654460,100.0,0.8809702813625336,41.72222316265106,8.834325790405273,0.2343201786279678
66754,667540,100.0,0.3758858054876327,42.1155571937561,8.284273147583008,1.363911747932434
68089,680890,100.0,0.8799147248268127,41.06444418430328,6.7938432693481445,0.2387623637914657
69450,694500,100.0,0.4266447454690933,41.7888879776001,8.887545585632324,1.1851059198379517
70839,708390,100.0,0.8753877878189088,41.359999775886536,7.315814971923828,0.2510004639625549
72255,722550,100.0,0.4162291526794433,41.546666622161865,13.12313747406006,1.1037245988845823
73700,737000,100.0,0.8799765706062316,40.806666016578674,8.554994583129883,0.2408006936311721
75174,751740,100.0,0.8925330936908723,42.2177791595459,8.12492561340332,0.1986789107322693
76677,766770,100.0,0.8747880160808563,41.019999980926514,7.120760440826416,0.2499191462993621
78210,782100,100.0,0.3593845963478088,41.72444343566895,12.322102546691896,1.3761907815933228
79774,797740,100.0,0.8755750119686126,41.25777781009674,9.447224617004396,0.249048113822937
81369,813690,100.0,0.883706945180893,42.31777787208557,7.80087947845459,0.2309117466211319
82996,829960,100.0,0.8779463648796082,40.53555727005005,6.748366355895996,0.2435187697410583
84655,846550,100.0,0.8783188939094543,41.48888885974884,5.940462589263916,0.2455094456672668
86348,863480,100.0,0.3915074050426483,41.96666777133942,12.96574878692627,1.2194864749908447
34100,341010,100.0,2.26497627320299e-09,39.10000026226044,15.493969917297363,
34782,347830,100.0,0.8784127056598663,39.56666588783264,7.524961471557617,0.2404492497444152
35477,354780,100.0,0.8807794868946077,39.944446086883545,8.596258163452148,0.2365967035293579
36186,361870,100.0,0.8819416701793672,40.16222357749939,10.374748229980469,0.234893798828125
36909,369100,100.0,0.8780025362968445,40.17333388328552,7.397531032562256,0.2437631040811538
37647,376480,100.0,0.4536038488149643,40.30888974666596,8.796112060546875,1.0636602640151978
38399,384000,100.0,0.8918463170528412,39.73999917507172,6.331363201141357,0.2246965318918228
39166,391670,100.0,0.8829885065555573,40.79777896404266,8.017781257629395,0.2345637083053589
39949,399500,100.0,0.3919494897127151,41.0111129283905,9.689237594604492,1.1646554470062256
